id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000224086.5	147.199284301206	-1.51107319510466	0.203988144998981	-7.40765202366154	1.28555081110115e-13	5.38094839503768e-12
ENSG00000099974.7	40.0594521609065	-1.52807548185718	0.390043785631934	-3.91770241738744	8.93969702028927e-05	0.00124730058425941
ENSG00000233360.4	18.9136245533014	-1.5377123749025	0.559654960482072	-2.74760787178221	0.00600317577632369	0.0344888333816244
ENSG00000273253.2	10.7988643263287	-1.55883729763731	0.732398760321682	-2.12839969438594	0.0333039584703328	0.145642684056828
ENSG00000272821.1	14.8617866919744	-1.63322385618672	0.648839667322301	-2.51714551135087	0.0118309956411214	0.0617435295513001
ENSG00000218537.1	250.70548314332	-1.63992457050365	0.177898828217002	-9.21829888898013	3.01850760429842e-20	1.76884545611887e-18
ENSG00000273212.1	18.1845292267485	-1.82349692442925	0.570135039903742	-3.19835968113294	0.00138211776514817	0.0101240126297104
__alignment_not_unique	3700.99712062399	-2.13199002021927	0.0883244821965377	-24.1381547584419	9.94356200040238e-129	2.9134636661179e-126
ENSG00000273387.1	9.2155866085803	-2.34412662252082	0.837113457957421	-2.80024959608288	0.00510631070988813	0.030533653836678
ENSG00000243762.1	18.8193142874452	-2.43680400054421	0.617722557425642	-3.94481951687112	7.98601047531621e-05	0.00116995053463383
ENSG00000100242.15	22.2610780454391	-2.79067151391248	0.58663041152051	-4.75712042728782	1.96374029513468e-06	4.10982790338901e-05
ENSG00000232775.6	11.7620915315924	-4.05146144936056	0.966144265073886	-4.193433212638	2.7476399855011e-05	0.000423715008290432
ENSG00000100079.6	1.71568284267427	-4.20382362514655	2.05925892562616	-2.0414254724516	0.0412085547062899	0.166161962151974
ENSG00000225413.2	1.73761103502986	-4.22007689575593	2.03952063339098	-2.06915136168026	0.0385318852540103	0.163620904049638
ENSG00000100201.18	2.13563177551945	-4.51088513604287	1.93729078938577	-2.3284502051822	0.0198882104158555	0.0923868741639077
ENSG00000268812.3	2.19227498917274	-4.55723003518376	1.89251768351445	-2.4080250741546	0.0160390793997408	0.0770401682643285
ENSG00000249310.2	4.63864688697166	-4.61336830391221	1.54385931098333	-2.98820512406264	0.00280621145357632	0.0178743468673448
ENSG00000280178.1	6.31730167083206	-5.09096207570118	1.47524013114955	-3.45093789696065	0.000558642099749202	0.00545607117421721
ENSG00000215270.3	3.39245605170297	-5.18971711932375	1.67764971444937	-3.0934449990516	0.00197847222481239	0.0135821203865626
ENSG00000231933.7	3.42599898300482	-5.19481939853318	1.70849494454707	-3.04058224761697	0.00236121191432416	0.0157235247931131
ENSG00000212939.2	7.22717872593706	-5.27761629829133	1.43054165818716	-3.68924334924949	0.000224922001058006	0.00244082023370355
ENSG00000100416.12	3.77349535090257	-5.34001197074882	1.63247803201116	-3.27110801250421	0.00107126985943371	0.00804825817471994
ENSG00000235237.1	4.06015389279916	-5.45346172902891	1.62342049056983	-3.35924165101225	0.000781566910587747	0.00677651337680952
ENSG00000280156.1	5.26260533896369	-5.8094965079353	1.62578593818946	-3.57334650981481	0.000352447872059612	0.00358497617123689
ENSG00000279184.1	32.7935760512486	-7.48954894358871	1.23903413364837	-6.04466716468538	1.4971875174547e-09	4.38675942614226e-08
