gene,HBR_1,HBR_2,HBR_3,UHR_1,UHR_2,UHR_3
ENSG00000100364.18,0,0,0,0,2,1
ENSG00000100365.14,0,0,0,0,0,0
ENSG00000100368.13,0,0,0,0,2,0
ENSG00000100372.14,0,0,0,0,0,0
ENSG00000100373.9,0,0,0,0,0,0
ENSG00000100376.11,1,0,0,1,1,0
ENSG00000100379.17,0,0,0,0,0,0
ENSG00000100380.12,1,0,0,1,3,1
ENSG00000100385.13,0,0,0,0,2,0
ENSG00000100387.8,0,0,1,0,0,0
ENSG00000100393.9,0,2,1,0,5,0
ENSG00000100395.14,26,24,26,2,1,5
ENSG00000100399.15,6,10,5,21,8,4
ENSG00000100401.19,0,0,2,1,0,0
ENSG00000100403.11,0,2,0,0,5,1
ENSG00000100410.7,0,1,1,0,0,0
ENSG00000100412.15,33,42,46,54,33,39
ENSG00000100413.16,147,195,156,116,83,92
ENSG00000100416.12,0,0,0,8,7,9
ENSG00000100417.11,10,9,5,0,1,0
ENSG00000100418.7,2,4,0,0,3,1
ENSG00000100422.13,2,3,1,3,0,0
ENSG00000100425.18,0,0,0,0,1,1
ENSG00000100426.6,21,23,31,14,10,5
ENSG00000100427.15,0,1,1,0,2,0
ENSG00000100429.17,0,2,0,0,3,1
ENSG00000128159.11,1,1,0,5,0,3
ENSG00000128165.8,0,1,0,0,0,0
ENSG00000128185.9,0,0,0,0,0,0
ENSG00000128191.13,12,2,4,7,9,5
ENSG00000128203.6,4,0,6,5,5,5
ENSG00000128218.7,0,0,0,0,0,1
ENSG00000128228.4,0,0,0,0,0,0
ENSG00000128242.12,0,0,1,0,3,0
ENSG00000128245.14,0,2,0,0,1,0
ENSG00000128250.5,62,59,66,1,0,0
ENSG00000128253.13,0,1,0,0,1,0
ENSG00000128254.12,4,4,6,6,6,6
ENSG00000128262.8,0,0,0,0,0,1
ENSG00000128266.8,2,0,0,0,0,0
ENSG00000128268.11,0,0,0,2,1,1
ENSG00000128271.19,0,0,0,0,0,0
ENSG00000128272.14,3,2,1,1,0,0
ENSG00000128274.15,0,0,0,0,1,0
ENSG00000128276.10,2,2,1,0,1,3
ENSG00000128283.6,0,0,0,0,2,0
ENSG00000128284.19,0,0,1,0,2,0
ENSG00000128285.4,0,0,0,2,0,1
ENSG00000128294.15,0,1,0,0,3,0
ENSG00000128298.16,4,7,4,5,2,1
ENSG00000128309.16,0,0,0,0,1,0
ENSG00000128310.2,0,0,1,1,0,0
ENSG00000128311.13,0,0,0,0,1,1
ENSG00000128313.2,0,0,1,0,0,0
ENSG00000128322.6,0,0,0,0,0,0
ENSG00000128335.13,0,1,0,1,2,0
ENSG00000128340.14,0,0,0,0,2,0
ENSG00000128342.4,0,0,0,0,0,0
ENSG00000128346.10,13,26,19,34,27,24
ENSG00000128383.12,0,0,0,0,1,0
ENSG00000128394.16,0,0,0,0,0,0
ENSG00000128408.8,0,0,0,0,1,0
ENSG00000130487.5,0,0,0,0,1,0
ENSG00000130489.12,15,23,20,12,5,19
ENSG00000130538.4,0,0,0,0,0,0
ENSG00000130540.13,0,0,0,0,1,0
ENSG00000130638.15,0,2,0,1,3,0
ENSG00000130943.6,5,6,6,7,10,8
ENSG00000131100.12,0,2,1,0,2,0
ENSG00000133422.12,2,6,3,0,0,1
ENSG00000133424.20,0,0,0,2,3,0
ENSG00000133433.10,0,0,0,0,0,0
ENSG00000133454.15,0,0,0,1,7,1
ENSG00000133460.19,0,7,3,2,2,1
ENSG00000133466.13,2,0,0,1,3,1
ENSG00000133475.16,0,0,0,0,0,0
ENSG00000133477.16,0,1,0,0,1,1
ENSG00000133488.14,0,0,0,0,1,0
ENSG00000133519.12,0,0,0,0,1,0
ENSG00000138867.16,1,2,2,4,2,3
ENSG00000138892.11,0,0,0,0,0,1
ENSG00000138942.15,0,1,0,0,2,0
ENSG00000138944.7,1,0,1,1,1,0
ENSG00000138964.16,0,0,0,0,1,1
ENSG00000159307.18,1,0,0,0,3,0
ENSG00000159496.14,58,80,65,65,42,46
ENSG00000159873.9,0,0,0,1,1,0
ENSG00000159958.4,0,0,0,0,1,0
ENSG00000161103.11,0,0,1,0,2,0
ENSG00000161132.6,1,1,0,1,3,0
ENSG00000161133.16,0,0,0,0,1,0
ENSG00000161149.11,1,1,1,4,0,0
ENSG00000161179.13,1,2,0,1,1,1
ENSG00000161180.10,0,0,0,0,1,0
ENSG00000166862.6,0,0,0,0,0,0
ENSG00000166897.14,0,0,0,0,2,1
ENSG00000167037.18,1,0,0,0,3,0
ENSG00000167065.13,4,8,5,2,5,1
ENSG00000167074.14,0,0,0,0,0,0
ENSG00000167077.12,0,0,0,1,4,0
ENSG00000168135.4,0,0,0,0,1,0
ENSG00000169184.5,0,0,0,1,2,0
ENSG00000169314.14,18,36,18,27,24,21
ENSG00000169548.3,0,0,0,0,1,0
ENSG00000169575.4,0,0,0,0,0,0
ENSG00000169635.9,0,0,0,0,0,0
ENSG00000169662.8,0,0,0,0,0,0
ENSG00000169668.11,1,0,0,0,0,0
ENSG00000170638.9,17,18,20,3,1,5
ENSG00000172250.14,17,20,31,26,15,26
ENSG00000172346.14,11,17,16,20,13,8
ENSG00000172404.4,2,5,0,12,8,6
ENSG00000172912.4,1,0,0,1,0,0
ENSG00000172967.7,0,0,0,0,0,0
ENSG00000175329.12,0,0,0,5,1,0
ENSG00000176177.9,0,0,0,0,3,0
ENSG00000176635.17,1,0,0,0,5,0
ENSG00000177096.8,0,1,0,0,1,0
ENSG00000177663.13,0,0,0,0,1,0
ENSG00000177989.13,6,3,5,4,4,2
ENSG00000177993.3,6,2,3,7,2,2
ENSG00000178026.12,2,4,3,1,3,2
ENSG00000178248.11,0,0,1,0,0,0
ENSG00000178803.10,5,12,9,14,10,6
ENSG00000179750.15,0,0,0,0,1,0
ENSG00000180150.5,0,0,0,0,0,0
ENSG00000180957.17,2,1,3,4,1,3
ENSG00000181123.8,0,0,1,0,0,0
ENSG00000182057.4,0,2,1,2,2,2
ENSG00000182257.6,6,11,16,13,1,8
ENSG00000182351.7,0,0,0,0,1,0
ENSG00000182541.17,37,42,43,5,2,4
ENSG00000182824.7,0,0,0,0,0,0
ENSG00000182841.12,0,3,1,8,2,4
ENSG00000182858.13,4,7,1,6,4,5
ENSG00000182902.13,6,7,4,4,5,3
ENSG00000182944.17,1,2,0,0,2,3
ENSG00000183066.14,1,1,1,1,3,2
ENSG00000183169.6,0,0,0,0,0,0
ENSG00000183172.8,0,0,0,4,0,2
ENSG00000183246.6,0,0,0,0,0,0
ENSG00000183307.3,0,0,1,0,1,0
ENSG00000183506.16,0,0,0,0,1,0
ENSG00000183530.13,0,0,0,1,2,0
